rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,checkout,late,rented_again
556117,404654,mobile,ended,-101.0,,,Early,come earlier,Parking
556121,331350,mobile,ended,-24.0,,,Early,come earlier,Parking
556145,352005,mobile,ended,-95.0,,,Early,come earlier,Parking
556196,310571,mobile,ended,88.0,,,Late 60-120 min,come later,Parking
556430,409972,mobile,ended,17.0,,,Late under 30 min,come later,Parking
556461,351836,mobile,ended,-15.0,,,Early,come earlier,Parking
556545,370490,mobile,ended,-2.0,,,Early,come earlier,Parking
556573,300505,connect,ended,-45.0,552826.0,630.0,Early,come earlier,rented again
556577,404731,mobile,ended,287.0,,,Late more than 180 min,come later,Parking
556630,376605,connect,ended,1.0,,,Late under 30 min,come later,Parking
556935,349129,connect,canceled,,,,Early,come earlier,Parking
538268,365894,mobile,canceled,,,,Early,come earlier,Parking
538296,389395,mobile,ended,103.0,,,Late 60-120 min,come later,Parking
538434,392169,mobile,ended,27.0,,,Late under 30 min,come later,Parking
538515,399185,mobile,ended,42.0,,,Late 30-60 min,come later,Parking
538545,369542,mobile,ended,-11.0,,,Early,come earlier,Parking
538602,273187,mobile,ended,28.0,,,Late under 30 min,come later,Parking
538623,387980,mobile,ended,-27.0,,,Early,come earlier,Parking
538637,390590,connect,canceled,,,,Early,come earlier,Parking
538692,361258,mobile,ended,-48.0,,,Early,come earlier,Parking
538788,204903,mobile,ended,94.0,,,Late 60-120 min,come later,Parking
538853,351319,mobile,ended,-27.0,,,Early,come earlier,Parking
538935,377400,mobile,ended,15.0,,,Late under 30 min,come later,Parking
538955,364296,mobile,ended,51.0,,,Late 30-60 min,come later,Parking
539083,204293,mobile,canceled,,540497.0,420.0,Early,come earlier,rented again
539095,347612,mobile,ended,-30.0,,,Early,come earlier,Parking
539100,383945,mobile,ended,-384.0,,,Early,come earlier,Parking
539199,193820,mobile,ended,-18.0,,,Early,come earlier,Parking
539207,380347,mobile,ended,35.0,,,Late 30-60 min,come later,Parking
539316,293887,mobile,ended,,,,Early,come earlier,Parking
539623,374486,mobile,ended,54.0,,,Late 30-60 min,come later,Parking
539699,295783,connect,ended,-94.0,,,Early,come earlier,Parking
539815,387976,mobile,ended,74.0,,,Late 60-120 min,come later,Parking
539830,387008,mobile,ended,471.0,,,Late more than 180 min,come later,Parking
539837,325139,mobile,ended,62.0,536246.0,510.0,Late 60-120 min,come later,rented again
540007,382042,mobile,ended,,,,Early,come earlier,Parking
540017,330081,mobile,ended,-65.0,,,Early,come earlier,Parking
540178,368391,mobile,canceled,,,,Early,come earlier,Parking
540262,377995,mobile,ended,-13.0,,,Early,come earlier,Parking
540492,294189,mobile,ended,66.0,,,Late 60-120 min,come later,Parking
